
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                  
    446      24     6256      20532       0.14   7608   0 svchost                                                      
    243      13     2656      12788       0.66   8076   0 svchost                                                      
    133       9     1796       8940       0.03   9456   0 svchost                                                      
    255      16     4308      12976       0.31   9548   0 svchost                                                      
    215      13     3272      13496       0.27   9560   0 svchost                                                      
    443      21     7468      30732       0.59  10044   0 svchost                                                      
    122       9     1676       7904       0.00  10212   0 svchost                                                      
    463      20     4828      21344       0.31  10720   0 svchost                                                      
    243      15     3840      12456       0.17  12008   0 svchost                                                      
    193      10     2676      14536       0.05  12820   0 svchost                                                      
    189       9     2172      10184       0.05  13244   0 svchost                                                      
    338      13     3120       8284       0.03  13300   0 svchost                                                      
    430      22   150684     169132       1.11  13328   0 svchost                                                      
    269      17     3960      19064       0.27  13740   0 svchost                                                      
    146       9     3656      11732       0.02  13852   0 svchost                                                      
    265      10     2332      10688       0.03  14108   0 svchost                                                      
    143       9     1868       9056       0.03  14616   0 svchost                                                      
    398      17     5200      24392       0.06  14668   2 svchost                                                      
    452      20     9004      40968       0.44  14924   2 svchost                                                      
    160      10     2524      11464       0.02  15016   2 svchost                                                      
    173      11     2664      13144       0.00  15128   0 svchost                                                      
    434      30    11532      26956       0.27  17704   0 svchost                                                      
    243      12     3764      22316       0.03  17976   2 svchost                                                      
   5331       0       44       1232      63.98      4   0 System                                                       
    205      14     2728      14304       0.06  15840   2 taskhostw                                                    
   1894     104   121220     194928       1.27  16044   2 TextInputHost                                                
    590      34    78736      96476       0.77  15848   2 TG_PowerCon                                                  
    216      14     6420      19020       0.91   5284   0 TiWorker                                                     
    148      10     2000      10260       0.05   3396   0 TrustedInstaller                                             
    144      10     1720       7428       0.06  12140   0 unsecapp                                                     
    166      14     2524       6056       0.19   4276   0 vmnat                                                        
     99      10     7876       4492       0.02   4252   0 vmnetdhcp                                                    
    229      16     4148       8700       0.05   4760   0 vmware-authd                                                 
    205      19     4412      14692       0.02   2976   2 vmware-tray                                                  
    237      14     3132      10476       0.06   4788   0 vmware-usbarbitrator64                                       
    254      15     3616      24168       0.08   7568   2 Widgets                                                      
    831      37    67592      99288       0.72  13720   2 WindowsTerminal                                              
    171      13     2180       6736       0.06   1332   0 wininit                                                      
    294      15     3308      22744       0.11  16792   2 winlogon                                                     
    190      13     3688      11028       0.14   5916   0 WmiPrvSE                                                     
    444      21    10832      23952       3.38   6324   0 WmiPrvSE                                                     
    174      11     3016      12360       0.03  15336   0 WmiPrvSE                                                     
    268      14     2960       9440       0.06   4316   0 WMIRegistrationService                                       


